scope,operator,t_bucket,l_bucket,num_units,avg_stoc_len,avg_error,metric_mean,metric_std,counts,fractions,thresholds,level_mean_error
bucket,av,2,2,917504,31.999564034598215,0.0017537780804559588,0.2845570743083954,0.2739475965499878,"0,1,168,5910,29856,174325,448524,258720","0.000000,0.000001,0.000183,0.006441,0.032540,0.189999,0.488852,0.281982","1.000000,1.000000,1.000000,1.000000,0.995230,0.392297,0.102199","0.000203,0.000130,0.000233,0.000377,0.000798,0.001194,0.002324,0.006163"
bucket,av,2,3,917504,31.999930245535715,0.0014820338692516088,0.3050542175769806,0.29711195826530457,"1,23,1010,7692,36433,156348,449707,266290","0.000001,0.000025,0.001101,0.008384,0.039709,0.170406,0.490142,0.290233","1.000000,1.000000,1.000000,1.000000,0.995472,0.445694,0.105611","0.000155,0.000117,0.000212,0.000343,0.000695,0.001083,0.002123,0.006138"
bucket,av,3,0,1835008,32.0,0.001558407093398273,0.35429754853248596,0.23653262853622437,"0,1,483,12881,83735,386308,743390,608210","0.000000,0.000001,0.000263,0.007020,0.045632,0.210521,0.405115,0.331448","1.000000,1.000000,1.000000,1.000000,0.826752,0.484985,0.213713","0.000079,0.000126,0.000298,0.000444,0.000877,0.001221,0.002238,0.005773"
bucket,av,3,1,1835008,31.998552594866073,0.0003697836655192077,0.3094697892665863,0.20332539081573486,"31,239,5180,40131,91082,355650,610287,732408","0.000017,0.000130,0.002823,0.021870,0.049636,0.193814,0.332580,0.399131","1.000000,1.000000,1.000000,0.799153,0.645493,0.413906,0.220768","0.000047,0.000033,0.000068,0.000102,0.000223,0.000324,0.000651,0.001761"
bucket,av,3,2,1835008,31.997358049665177,0.00019962582155130804,0.2893425524234772,0.2108132541179657,"528,1810,23744,59053,77683,277308,557737,837145","0.000288,0.000986,0.012939,0.032181,0.042334,0.151121,0.303943,0.456208","1.000000,1.000000,0.889430,0.727230,0.616085,0.415227,0.217876","0.000040,0.000032,0.000053,0.000080,0.000163,0.000238,0.000453,0.001190"
bucket,av,3,3,1835008,31.998386928013392,0.0002810718142427504,0.3012327551841736,0.20762628316879272,"493,2581,24646,51179,127579,226404,535075,867051","0.000269,0.001407,0.013431,0.027890,0.069525,0.123380,0.291593,0.472505","1.000000,1.000000,0.883500,0.738195,0.573633,0.429936,0.245014","0.000046,0.000046,0.000078,0.000123,0.000231,0.000361,0.000683,0.002019"
bucket,input_proj,0,0,7168,32.002232142857146,0.011161142028868198,0.20539483428001404,0.13377830386161804,"0,0,0,0,12,477,6179,500","0.000000,0.000000,0.000000,0.000000,0.001674,0.066546,0.862026,0.069754","1.000000,1.000000,1.000000,1.000000,0.769226,0.432896,0.058428","0.000833,0.000722,0.001242,0.001984,0.003807,0.006010,0.011467,0.032932"
bucket,input_proj,0,1,7168,32.0,0.013251523487269878,0.4188566207885742,0.197140634059906,"0,0,0,0,0,3,7162,3","0.000000,0.000000,0.000000,0.000000,0.000000,0.000419,0.999163,0.000419","1.000000,1.000000,1.000000,1.000000,1.000000,0.925129,0.026277","0.000437,0.000661,0.001242,0.002018,0.004093,0.006604,0.013252,0.040641"
bucket,input_proj,0,2,7168,32.002232142857146,0.012811650522053242,0.32128551602363586,0.14544381201267242,"0,0,0,0,0,1,7167,0","0.000000,0.000000,0.000000,0.000000,0.000000,0.000140,0.999860,0.000000","1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000","0.000393,0.000611,0.001165,0.001899,0.003895,0.006307,0.012814,0.039656"
bucket,input_proj,0,3,6144,32.0,0.013281437568366528,0.25265052914619446,0.12254813313484192,"0,0,0,0,0,7,6130,7","0.000000,0.000000,0.000000,0.000000,0.000000,0.001139,0.997721,0.001139","1.000000,1.000000,1.000000,1.000000,1.000000,0.814681,0.020529","0.000390,0.000617,0.001185,0.001940,0.004012,0.006507,0.013283,0.041076"
